score,accuracy,average_response_time,questions_attempted,performance_category
371.0,85.76,15.81,36,High Performer
113.0,34.17,18.41,33,Average Performer
199.0,56.86,17.67,35,Average Performer
153.0,54.8,24.96,28,Average Performer
140.0,54.0,16.14,26,Average Performer
198.0,68.16,12.72,29,Average Performer
479.0,100.0,9.06,44,High Performer
148.0,46.26,18.22,32,Average Performer
187.0,66.81,10.0,28,Average Performer
214.0,54.83,21.71,39,Average Performer
269.0,65.67,17.13,41,Average Performer
166.0,38.6,16.52,43,Average Performer
231.0,91.7,10.52,21,High Performer
175.0,58.26,22.0,30,Average Performer
350.0,75.14,8.38,43,High Performer
88.0,55.14,12.1,16,Average Performer
84.0,31.17,22.86,27,Low Performer
163.0,45.22,10.91,36,Average Performer
252.0,67.75,11.67,31,High Performer
126.0,59.78,18.66,21,Average Performer
270.0,74.3,13.05,31,High Performer
377.0,78.47,14.0,42,High Performer
68.0,28.15,24.03,24,Low Performer
480.0,90.19,11.46,48,High Performer
38.0,22.26,22.8,17,Low Performer
101.0,43.97,10.27,23,Average Performer
276.0,64.11,10.0,43,Average Performer
25.0,17.85,29.2,14,Low Performer
191.0,65.94,23.49,29,Average Performer
278.0,75.0,15.96,37,Average Performer
82.0,31.51,19.34,26,Low Performer
38.0,19.9,30.0,19,Low Performer
7.0,13.82,27.39,5,Low Performer
147.0,61.39,20.47,24,Average Performer
352.0,84.92,15.2,37,High Performer
539.0,100.0,5.91,46,High Performer
230.0,74.12,24.37,31,Average Performer
51.0,31.71,26.31,16,Low Performer
9.0,11.44,15.31,8,Low Performer
236.0,67.39,16.55,35,Average Performer
71.0,32.39,28.55,22,Low Performer
408.0,79.08,12.0,41,High Performer
187.0,53.55,15.55,35,Average Performer
275.0,65.58,17.95,42,Average Performer
93.0,30.0,22.32,31,Average Performer
398.0,91.34,7.76,38,High Performer
280.0,89.96,11.97,27,High Performer
134.0,43.28,10.0,31,Average Performer
81.0,30.0,14.33,27,Average Performer
99.0,30.0,18.28,33,Average Performer
12.0,5.33,30.0,22,Low Performer
297.0,92.18,11.58,29,High Performer
243.0,56.41,14.11,43,Average Performer
223.0,58.6,16.59,38,Average Performer
173.0,49.44,16.33,35,Average Performer
240.0,75.0,19.5,32,Average Performer
138.0,44.41,22.45,31,Average Performer
184.0,65.78,26.63,28,Average Performer
268.0,63.89,10.0,42,Average Performer
140.0,46.82,15.98,30,Average Performer
132.0,66.09,26.76,20,Average Performer
338.0,100.0,9.46,28,High Performer
354.0,97.38,11.25,31,High Performer
265.0,61.53,17.41,43,Average Performer
100.0,50.0,26.07,20,Low Performer
98.0,61.01,18.87,16,Average Performer
292.0,100.0,12.67,26,High Performer
208.0,48.29,18.36,43,Average Performer
174.0,52.73,11.68,33,Average Performer
320.0,86.29,9.95,33,High Performer
241.0,69.97,12.98,33,High Performer
104.0,37.28,15.62,28,Average Performer
99.0,39.44,26.55,25,Low Performer
313.0,80.32,15.43,34,High Performer
57.0,29.78,25.84,19,Low Performer
45.0,45.44,15.0,10,Low Performer
31.0,13.4,30.0,23,Low Performer
38.0,31.59,28.96,12,Low Performer
474.0,84.88,14.83,49,High Performer
128.0,75.0,24.4,17,Average Performer
95.0,43.38,15.35,22,Average Performer
126.0,30.0,17.74,42,Average Performer
391.0,100.0,11.92,32,High Performer
157.0,55.92,20.73,28,Average Performer
292.0,75.0,21.34,39,Average Performer
99.0,39.59,30.0,25,Low Performer
80.0,41.94,10.18,19,Average Performer
93.0,54.87,17.91,17,Average Performer
22.0,27.29,18.31,8,Low Performer
35.0,15.31,30.0,23,Low Performer
487.0,100.0,13.45,43,High Performer
352.0,85.99,14.54,32,High Performer
102.0,30.0,11.63,34,Average Performer
253.0,84.87,13.29,22,High Performer
162.0,38.65,25.27,42,Average Performer
338.0,100.0,15.56,33,High Performer
329.0,90.18,18.47,29,High Performer
472.0,97.08,7.03,41,High Performer
128.0,70.86,18.32,18,Average Performer
45.0,30.0,12.32,15,Average Performer
121.0,50.35,19.09,24,Average Performer
301.0,91.11,8.08,27,High Performer
151.0,55.85,19.51,27,Average Performer
142.0,61.95,17.44,23,Average Performer
476.0,91.8,19.35,47,High Performer
468.0,89.71,12.57,43,High Performer
223.0,65.7,30.0,34,Average Performer
12.0,9.57,26.68,13,Low Performer
244.0,86.2,7.22,25,High Performer
267.0,76.1,11.04,26,High Performer
336.0,93.36,9.22,31,High Performer
255.0,75.0,21.94,34,Average Performer
140.0,69.93,15.83,20,Average Performer
124.0,65.04,18.43,19,Average Performer
238.0,73.75,7.99,27,High Performer
219.0,49.82,12.45,44,Average Performer
159.0,45.49,10.0,35,Average Performer
262.0,70.69,15.78,37,Average Performer
299.0,100.0,8.42,22,High Performer
41.0,20.57,26.32,20,Low Performer
187.0,62.26,27.14,30,Average Performer
203.0,56.26,10.06,36,Average Performer
210.0,61.66,24.81,34,Average Performer
216.0,71.89,15.34,30,Average Performer
270.0,75.0,24.0,36,Average Performer
267.0,97.01,13.06,21,High Performer
98.0,65.31,19.93,15,Average Performer
106.0,40.77,25.48,26,Low Performer
286.0,71.49,23.75,40,Average Performer
422.0,78.9,11.73,42,High Performer
78.0,30.0,19.67,26,Average Performer
267.0,72.1,21.91,37,Average Performer
38.0,47.79,20.87,8,Low Performer
122.0,64.18,21.98,19,Average Performer
173.0,46.63,25.38,37,Average Performer
50.0,26.25,19.03,19,Low Performer
185.0,57.7,23.61,32,Average Performer
31.0,22.5,27.45,14,Low Performer
241.0,86.04,13.04,24,High Performer
265.0,73.97,12.86,29,High Performer
327.0,72.86,13.77,33,High Performer
474.0,88.96,5.0,46,High Performer
81.0,30.0,23.35,27,Average Performer
0.0,0.0,25.41,15,Low Performer
112.0,44.66,20.96,25,Average Performer
113.0,41.87,10.0,27,Average Performer
110.0,61.12,14.57,18,Average Performer
403.0,84.8,16.33,40,High Performer
321.0,77.1,21.65,35,High Performer
436.0,99.71,11.88,35,High Performer
125.0,44.56,18.58,28,Average Performer
314.0,75.32,14.45,34,High Performer
345.0,91.24,11.61,31,High Performer
238.0,82.69,11.59,22,High Performer
307.0,86.47,7.98,30,High Performer
83.0,55.34,12.84,15,Average Performer
285.0,73.57,17.64,33,High Performer
78.0,43.23,15.79,18,Average Performer
31.0,43.71,24.77,7,Low Performer
50.0,50.0,15.0,10,Low Performer
16.0,16.15,19.2,10,Low Performer
30.0,33.74,26.84,9,Low Performer
218.0,75.0,21.26,29,Average Performer
124.0,41.48,17.37,30,Average Performer
150.0,75.0,19.73,20,Average Performer
215.0,61.3,24.49,35,Average Performer
62.0,31.23,26.01,20,Low Performer
333.0,100.0,10.75,31,High Performer
160.0,51.49,17.26,31,Average Performer
98.0,46.87,25.28,21,Low Performer
64.0,39.92,10.0,16,Average Performer
222.0,50.49,22.93,44,Average Performer
372.0,89.2,8.61,36,High Performer
253.0,76.05,15.55,32,High Performer
75.0,30.0,24.47,25,Average Performer
310.0,69.16,6.65,41,High Performer
32.0,16.23,30.0,20,Low Performer
65.0,29.72,15.58,22,Low Performer
146.0,66.47,10.0,22,Average Performer
16.0,19.88,30.0,8,Low Performer
163.0,43.98,30.0,37,Average Performer
126.0,46.71,26.57,27,Average Performer
280.0,63.73,10.59,44,Average Performer
35.0,18.57,22.48,19,Low Performer
155.0,55.29,10.0,28,Average Performer
470.0,87.77,18.46,49,High Performer
135.0,75.0,10.39,18,Average Performer
103.0,46.99,26.62,22,Low Performer
513.0,100.0,14.93,45,High Performer
29.0,29.05,21.45,10,Low Performer
399.0,82.63,12.76,41,High Performer
192.0,64.16,18.79,30,Average Performer
172.0,75.0,16.86,23,Average Performer
388.0,81.39,5.61,39,High Performer
141.0,34.44,12.28,41,Average Performer
210.0,75.0,26.77,28,Average Performer
157.0,71.24,14.06,22,Average Performer
247.0,91.13,9.58,24,High Performer
232.0,57.95,15.22,40,Average Performer
305.0,72.52,20.52,42,Average Performer
112.0,69.94,19.33,16,Average Performer
272.0,84.44,11.35,23,High Performer
220.0,55.03,21.78,40,Average Performer
243.0,62.4,18.41,39,Average Performer
334.0,87.36,14.46,33,High Performer
136.0,56.84,17.87,24,Average Performer
60.0,37.38,21.47,16,Low Performer
315.0,86.8,14.72,29,High Performer
209.0,90.91,15.56,20,High Performer
218.0,53.21,10.0,41,Average Performer
142.0,52.62,18.44,27,Average Performer
60.0,33.16,28.13,18,Average Performer
253.0,93.9,9.53,23,High Performer
113.0,41.76,22.44,27,Average Performer
68.0,35.64,17.91,19,Average Performer
252.0,90.15,11.47,23,High Performer
406.0,93.5,14.69,36,High Performer
511.0,95.51,17.82,44,High Performer
95.0,59.37,17.43,16,Average Performer
207.0,57.54,15.47,36,Average Performer
371.0,86.69,13.01,38,High Performer
453.0,87.08,11.94,49,High Performer
21.0,20.93,24.26,10,Low Performer
183.0,60.98,25.88,30,Average Performer
342.0,83.4,15.68,29,High Performer
20.0,25.26,24.08,8,Low Performer
201.0,50.21,17.74,40,Average Performer
108.0,53.96,10.92,20,Average Performer
135.0,75.0,30.0,18,Average Performer
96.0,56.6,25.29,17,Average Performer
378.0,94.64,9.03,36,High Performer
261.0,92.75,17.26,29,High Performer
276.0,64.16,14.67,43,Average Performer
71.0,39.55,30.0,18,Average Performer
19.0,20.98,20.56,9,Low Performer
221.0,64.9,17.34,34,Average Performer
19.0,21.1,30.0,9,Low Performer
316.0,78.23,8.49,33,High Performer
177.0,43.18,10.97,41,Average Performer
145.0,50.0,30.0,29,Low Performer
9.0,12.3,20.78,7,Low Performer
93.0,30.0,22.21,31,Average Performer
124.0,49.54,11.09,25,Average Performer
136.0,34.9,10.29,39,Average Performer
347.0,91.47,8.33,33,High Performer
219.0,65.02,12.85,26,High Performer
348.0,99.42,12.61,31,High Performer
251.0,91.52,6.49,24,High Performer
205.0,51.22,18.99,40,Average Performer
8.0,2.84,17.58,29,Low Performer
398.0,78.98,12.56,41,High Performer
441.0,83.16,17.29,46,High Performer
5.0,1.94,22.72,28,Low Performer
0.0,0.0,21.94,6,Low Performer
132.0,36.71,23.96,36,Average Performer
271.0,100.0,11.54,23,High Performer
188.0,60.78,22.57,31,Average Performer
437.0,100.0,13.01,38,High Performer
201.0,52.97,19.71,38,Average Performer
273.0,87.49,7.51,23,High Performer
74.0,40.93,28.41,18,Low Performer
21.0,15.26,23.45,14,Low Performer
60.0,25.06,28.0,24,Low Performer
60.0,33.25,29.37,18,Low Performer
315.0,75.0,21.54,42,Average Performer
125.0,50.0,21.45,25,Low Performer
443.0,90.69,18.22,49,High Performer
545.0,97.78,10.91,49,High Performer
262.0,75.0,21.27,35,Average Performer
170.0,53.19,15.77,32,Average Performer
174.0,57.87,17.37,30,Average Performer
411.0,76.36,8.73,49,High Performer
107.0,48.65,12.99,22,Average Performer
332.0,89.82,13.3,33,High Performer
120.0,30.0,10.0,40,Average Performer
108.0,57.08,17.29,19,Average Performer
303.0,90.95,12.31,27,High Performer
99.0,39.54,24.73,25,Average Performer
226.0,57.87,21.02,39,Average Performer
167.0,47.77,15.59,35,Average Performer
104.0,32.52,14.97,32,Average Performer
165.0,51.71,22.57,32,Average Performer
71.0,33.84,15.99,21,Average Performer
142.0,39.49,18.26,36,Average Performer
50.0,17.3,27.16,29,Low Performer
399.0,74.04,10.52,47,High Performer
138.0,62.65,14.3,22,Average Performer
232.0,70.21,9.59,25,High Performer
98.0,31.63,19.56,31,Average Performer
214.0,62.81,19.23,34,Average Performer
101.0,43.76,21.59,23,Low Performer
402.0,78.94,13.17,37,High Performer
270.0,75.0,24.61,36,Average Performer
153.0,50.86,13.37,30,Average Performer
429.0,97.78,14.0,39,High Performer
35.0,19.7,23.73,18,Low Performer
340.0,100.0,7.48,28,High Performer
230.0,60.41,22.1,38,Average Performer
364.0,79.84,8.01,38,High Performer
315.0,73.97,10.18,38,High Performer
148.0,36.15,20.29,41,Average Performer
90.0,30.92,19.96,29,Average Performer
121.0,63.44,10.3,19,Average Performer
202.0,75.0,26.85,27,Average Performer
486.0,97.67,11.45,44,High Performer
93.0,38.83,30.0,24,Low Performer
125.0,41.53,22.84,30,Average Performer
211.0,63.47,18.08,28,High Performer
38.0,22.14,25.23,17,Low Performer
345.0,84.46,8.69,40,High Performer
113.0,47.07,16.18,24,Average Performer
220.0,64.82,19.47,34,Average Performer
270.0,64.28,11.26,42,Average Performer
180.0,49.95,10.0,36,Average Performer
383.0,71.88,15.26,47,High Performer
93.0,33.29,21.58,28,Average Performer
68.0,42.41,17.36,16,Average Performer
240.0,75.0,18.51,32,Average Performer
57.0,30.0,10.65,19,Average Performer
389.0,73.3,9.81,44,High Performer
137.0,49.01,17.68,28,Average Performer
359.0,85.6,15.53,36,High Performer
146.0,43.05,22.55,34,Average Performer
424.0,74.76,5.59,49,High Performer
457.0,86.37,12.86,49,High Performer
195.0,75.0,22.0,26,Average Performer
278.0,75.18,13.88,34,High Performer
77.0,40.5,21.26,19,Average Performer
320.0,76.61,15.65,34,High Performer
418.0,89.75,9.8,39,High Performer
342.0,81.9,9.35,40,High Performer
91.0,37.73,25.09,24,Average Performer
184.0,51.22,21.92,36,Average Performer
171.0,63.23,21.71,27,Average Performer
138.0,38.34,12.35,36,Average Performer
432.0,83.7,8.05,46,High Performer
71.0,28.57,26.44,25,Low Performer
379.0,79.75,11.28,41,High Performer
305.0,72.53,23.61,42,Average Performer
123.0,53.33,12.81,23,Average Performer
113.0,53.73,17.09,21,Average Performer
77.0,33.6,15.0,23,Low Performer
65.0,38.1,29.21,17,Low Performer
404.0,83.48,10.76,44,High Performer
110.0,36.71,13.99,30,Average Performer
174.0,47.08,24.89,37,Average Performer
78.0,30.0,15.79,26,Average Performer
101.0,59.69,10.0,17,Average Performer
85.0,49.99,17.8,17,Average Performer
75.0,39.59,17.08,19,Average Performer
34.0,12.53,26.55,27,Low Performer
173.0,49.35,15.53,35,Average Performer
408.0,87.56,12.06,40,High Performer
40.0,13.95,22.75,29,Low Performer
193.0,76.75,7.43,23,High Performer
167.0,62.0,19.86,27,Average Performer
247.0,58.91,19.99,42,Average Performer
275.0,62.43,19.98,44,Average Performer
23.0,16.11,24.75,14,Low Performer
500.0,89.77,6.21,48,High Performer
122.0,53.21,12.22,23,Average Performer
263.0,67.34,13.88,39,Average Performer
41.0,37.12,25.56,11,Low Performer
71.0,44.58,18.6,16,Low Performer
59.0,31.02,24.89,19,Low Performer
2.0,2.76,24.74,7,Low Performer
193.0,58.45,19.83,33,Average Performer
178.0,69.74,7.48,22,High Performer
375.0,76.24,11.35,46,High Performer
97.0,34.57,24.57,28,Low Performer
182.0,43.42,13.9,42,Average Performer
204.0,63.74,17.41,32,Average Performer
225.0,66.09,19.85,34,Average Performer
148.0,54.78,23.66,27,Average Performer
47.0,22.17,20.86,21,Low Performer
173.0,50.82,26.0,34,Average Performer
72.0,42.6,23.85,17,Low Performer
11.0,4.93,18.27,22,Low Performer
99.0,30.0,12.46,33,Average Performer
225.0,84.76,13.47,21,High Performer
125.0,52.24,19.65,24,Average Performer
86.0,42.78,30.0,20,Low Performer
67.0,31.85,26.27,21,Low Performer
76.0,47.65,23.56,16,Average Performer
105.0,50.0,27.32,21,Low Performer
406.0,86.06,7.94,44,High Performer
240.0,54.51,12.14,44,Average Performer
189.0,58.99,24.26,32,Average Performer
138.0,32.14,12.08,43,Average Performer
38.0,25.23,23.09,15,Low Performer
170.0,60.7,16.13,28,Average Performer
327.0,80.16,5.0,36,High Performer
254.0,80.67,15.5,23,High Performer
240.0,75.0,14.35,32,Average Performer
276.0,78.37,12.1,30,High Performer
77.0,48.17,17.34,16,Average Performer
195.0,67.16,21.28,29,Average Performer
125.0,54.16,15.27,23,Average Performer
91.0,36.5,16.4,25,Average Performer
252.0,72.05,12.85,35,Average Performer
315.0,81.65,12.95,34,High Performer
229.0,68.55,8.21,27,High Performer
164.0,56.45,12.87,29,Average Performer
513.0,100.0,20.68,44,High Performer
149.0,42.54,17.5,35,Average Performer
360.0,86.5,14.4,43,High Performer
346.0,73.04,15.54,43,High Performer
270.0,75.0,13.61,36,Average Performer
202.0,69.49,20.19,29,Average Performer
180.0,60.05,13.29,30,Average Performer
134.0,49.73,24.86,27,Average Performer
284.0,74.68,15.94,38,Average Performer
89.0,55.92,13.77,16,Average Performer
82.0,43.27,16.5,19,Average Performer
126.0,48.29,12.67,26,Average Performer
48.0,36.57,29.09,13,Low Performer
248.0,75.0,17.01,33,Average Performer
290.0,79.46,13.37,32,High Performer
239.0,76.98,8.8,23,High Performer
133.0,60.37,18.92,22,Average Performer
346.0,96.63,9.51,29,High Performer
386.0,85.49,14.64,39,High Performer
97.0,54.11,15.37,18,Average Performer
31.0,16.35,30.0,19,Low Performer
174.0,62.21,10.83,28,Average Performer
345.0,81.12,18.13,41,High Performer
170.0,39.49,16.22,43,Average Performer
327.0,91.45,15.25,27,High Performer
279.0,63.51,10.0,44,Average Performer
162.0,52.23,15.3,31,Average Performer
150.0,75.0,10.0,20,Average Performer
322.0,75.0,16.93,43,Average Performer
211.0,63.83,21.24,33,Average Performer
452.0,87.34,14.3,45,High Performer
463.0,88.23,13.15,48,High Performer
466.0,93.14,20.25,47,High Performer
437.0,91.3,12.09,45,High Performer
67.0,41.78,19.1,16,Average Performer
314.0,78.53,9.55,37,High Performer
271.0,63.76,7.06,35,High Performer
516.0,93.72,17.53,49,High Performer
16.0,5.82,27.36,27,Low Performer
73.0,27.05,25.94,27,Low Performer
340.0,86.22,13.62,34,High Performer
118.0,40.52,20.54,29,Average Performer
90.0,52.95,17.76,17,Average Performer
52.0,34.85,21.11,15,Average Performer
210.0,52.57,26.65,40,Average Performer
141.0,58.9,17.45,24,Average Performer
472.0,97.07,12.83,41,High Performer
124.0,49.55,18.47,25,Average Performer
188.0,75.0,21.17,25,Average Performer
368.0,96.86,9.72,34,High Performer
226.0,68.4,20.16,33,Average Performer
187.0,51.95,20.21,36,Average Performer
87.0,31.16,23.09,28,Low Performer
223.0,55.67,25.28,40,Average Performer
272.0,66.24,23.49,41,Average Performer
378.0,90.5,15.03,37,High Performer
150.0,75.0,23.59,20,Average Performer
196.0,59.28,11.52,33,Average Performer
63.0,26.09,30.0,24,Low Performer
199.0,47.39,18.31,42,Average Performer
289.0,87.58,13.29,27,High Performer
54.0,38.77,23.75,14,Low Performer
101.0,37.31,14.65,27,Average Performer
79.0,39.7,23.63,20,Low Performer
454.0,88.31,17.97,48,High Performer
229.0,85.87,5.54,24,High Performer
428.0,84.6,13.67,45,High Performer
325.0,85.98,7.64,32,High Performer
80.0,34.6,21.25,23,Low Performer
417.0,95.81,13.85,39,High Performer
74.0,46.14,20.01,16,Average Performer
202.0,75.0,12.28,27,Average Performer
278.0,75.0,15.43,37,Average Performer
54.0,30.0,16.52,18,Average Performer
62.0,36.31,20.11,17,Low Performer
141.0,64.21,17.87,22,Average Performer
113.0,56.4,15.31,20,Average Performer
413.0,75.91,6.25,45,High Performer
93.0,30.0,24.69,31,Average Performer
135.0,75.0,14.33,18,Average Performer
84.0,56.32,13.76,15,Average Performer
368.0,81.92,15.28,43,High Performer
391.0,90.87,19.49,35,High Performer
137.0,47.34,17.2,29,Average Performer
248.0,58.96,21.52,42,Average Performer
275.0,89.19,8.97,27,High Performer
141.0,58.64,17.8,24,Average Performer
297.0,74.36,12.16,40,Average Performer
43.0,47.81,29.04,9,Low Performer
360.0,75.11,12.38,37,High Performer
122.0,71.47,15.25,17,Average Performer
218.0,75.0,23.27,29,Average Performer
300.0,75.0,17.27,40,Average Performer
217.0,57.16,14.62,38,Average Performer
374.0,64.33,13.08,48,High Performer
239.0,74.64,16.9,32,Average Performer
41.0,31.42,15.96,13,Low Performer
175.0,69.77,14.06,22,High Performer
34.0,16.97,30.0,20,Low Performer
137.0,47.32,14.76,29,Average Performer
84.0,40.01,30.0,21,Low Performer
371.0,90.56,13.43,35,High Performer
209.0,69.76,14.37,30,Average Performer
150.0,51.83,28.49,29,Average Performer
115.0,54.81,18.06,21,Average Performer
472.0,83.53,17.37,49,High Performer
52.0,28.8,30.0,18,Low Performer
78.0,30.0,20.87,26,Average Performer
43.0,17.38,28.76,25,Low Performer
239.0,58.31,19.48,41,Average Performer
84.0,49.41,22.99,17,Average Performer
371.0,74.94,12.67,42,High Performer
188.0,49.45,14.5,38,Average Performer
102.0,44.51,17.39,23,Average Performer
82.0,40.81,20.31,20,Average Performer
207.0,59.14,14.54,35,Average Performer
106.0,40.81,23.33,26,Average Performer
498.0,95.24,13.34,46,High Performer
236.0,56.13,11.78,42,Average Performer
287.0,93.95,23.8,24,High Performer
18.0,16.75,15.0,11,Low Performer
115.0,49.91,26.84,23,Average Performer
99.0,41.44,10.0,24,Average Performer
357.0,88.95,9.72,33,High Performer
372.0,83.7,12.01,39,High Performer
107.0,42.65,27.32,25,Average Performer
119.0,51.57,23.95,23,Average Performer
245.0,64.5,26.88,38,Average Performer
376.0,78.27,14.5,42,High Performer
108.0,56.87,21.04,19,Average Performer
68.0,35.88,30.0,19,Low Performer
455.0,100.0,5.0,42,High Performer
188.0,75.0,29.4,25,Average Performer
470.0,100.0,14.79,45,High Performer
228.0,70.52,11.91,26,High Performer
129.0,49.8,25.47,26,Average Performer
252.0,84.44,12.39,22,High Performer
456.0,90.58,10.72,47,High Performer
424.0,94.36,20.09,42,High Performer
111.0,30.0,18.75,37,Average Performer
18.0,14.2,23.65,13,Low Performer
169.0,40.3,13.64,42,Average Performer
75.0,34.14,13.86,22,Average Performer
81.0,27.87,26.31,29,Low Performer
22.0,17.09,23.45,13,Low Performer
111.0,55.43,20.53,20,Average Performer
135.0,75.0,14.63,18,Average Performer
82.0,45.55,30.0,18,Low Performer
156.0,67.88,16.96,23,Average Performer
25.0,35.39,29.57,7,Low Performer
63.0,26.18,22.48,24,Low Performer
115.0,57.27,27.29,20,Average Performer
317.0,86.73,12.51,28,High Performer
353.0,77.15,15.65,39,High Performer
18.0,30.35,22.95,6,Low Performer
418.0,78.07,18.13,43,High Performer
225.0,75.0,18.01,30,Average Performer
250.0,69.52,26.69,36,Average Performer
111.0,33.61,13.29,33,Average Performer
152.0,52.55,15.22,29,Average Performer
102.0,31.79,10.0,32,Average Performer
25.0,50.0,23.62,5,Low Performer
278.0,75.0,12.39,37,Average Performer
234.0,53.26,16.98,44,Average Performer
328.0,88.21,13.19,30,High Performer
238.0,72.76,9.57,26,High Performer
395.0,86.99,9.55,40,High Performer
126.0,33.15,17.93,38,Average Performer
84.0,30.0,21.38,28,Average Performer
38.0,34.43,20.84,11,Low Performer
427.0,83.25,13.4,45,High Performer
76.0,36.39,23.26,21,Average Performer
414.0,91.86,14.96,42,High Performer
144.0,53.4,20.78,27,Average Performer
168.0,64.71,16.7,26,Average Performer
375.0,82.81,12.79,43,High Performer
273.0,100.0,10.66,25,High Performer
124.0,30.22,18.82,41,Average Performer
148.0,59.2,10.0,25,Average Performer
434.0,86.49,11.03,42,High Performer
283.0,74.54,17.1,38,Average Performer
301.0,96.79,11.33,24,High Performer
58.0,32.5,19.04,18,Low Performer
466.0,96.08,9.5,43,High Performer
274.0,77.92,15.81,29,High Performer
356.0,78.07,8.99,37,High Performer
257.0,58.5,20.12,44,Average Performer
239.0,88.42,8.76,23,High Performer
192.0,63.89,19.89,30,Average Performer
13.0,6.72,15.0,19,Low Performer
277.0,64.41,15.55,43,Average Performer
115.0,41.04,24.38,28,Average Performer
58.0,30.67,27.8,19,Low Performer
177.0,41.24,18.84,43,Average Performer
140.0,70.11,14.51,20,Average Performer
61.0,38.08,28.83,16,Low Performer
124.0,40.01,23.58,31,Average Performer
171.0,53.33,30.0,32,Average Performer
409.0,74.53,11.82,48,High Performer
416.0,79.55,15.53,46,High Performer
135.0,67.42,10.23,20,Average Performer
275.0,62.43,16.92,44,Average Performer
403.0,100.0,8.1,36,High Performer
24.0,33.62,18.85,7,Low Performer
229.0,63.47,12.73,29,High Performer
180.0,74.41,11.79,21,High Performer
33.0,40.96,19.11,8,Low Performer
69.0,30.0,16.19,23,Average Performer
113.0,35.29,18.12,32,Average Performer
483.0,90.7,14.0,45,High Performer
94.0,31.39,21.71,30,Average Performer
46.0,32.53,22.73,14,Low Performer
545.0,100.0,6.96,49,High Performer
107.0,48.78,19.6,22,Average Performer
92.0,51.22,14.98,18,Average Performer
110.0,39.28,17.02,28,Average Performer
139.0,53.33,10.0,26,Average Performer
149.0,53.37,17.28,28,Average Performer
240.0,72.74,18.44,33,Average Performer
188.0,48.31,21.98,39,Average Performer
344.0,73.75,20.93,34,High Performer
210.0,55.37,13.0,38,Average Performer
239.0,64.66,17.69,37,Average Performer
150.0,75.0,10.0,20,Average Performer
171.0,63.39,26.86,27,Average Performer
248.0,75.0,21.61,33,Average Performer
1.0,1.44,30.0,10,Low Performer
115.0,50.0,24.56,23,Low Performer
106.0,37.79,25.78,28,Average Performer
123.0,51.14,12.3,24,Average Performer
29.0,15.43,24.36,19,Low Performer
96.0,30.0,18.2,32,Average Performer
48.0,28.21,21.8,17,Low Performer
68.0,40.27,17.61,17,Average Performer
146.0,38.35,13.16,38,Average Performer
287.0,73.17,7.08,32,High Performer
56.0,32.65,28.16,17,Low Performer
217.0,65.62,20.4,33,Average Performer
387.0,84.73,8.65,41,High Performer
183.0,67.85,10.0,27,Average Performer
172.0,66.31,20.52,26,Average Performer
285.0,68.07,13.4,37,High Performer
210.0,53.74,12.99,39,Average Performer
412.0,83.79,17.05,42,High Performer
92.0,50.93,23.49,18,Average Performer
266.0,64.88,19.6,41,Average Performer
364.0,81.57,9.42,39,High Performer
15.0,20.74,23.61,7,Low Performer
137.0,54.98,24.62,25,Average Performer
356.0,75.79,9.47,42,High Performer
50.0,31.31,16.68,16,Average Performer
148.0,47.69,18.44,31,Average Performer
148.0,67.13,20.83,22,Average Performer
109.0,72.81,13.64,15,Average Performer
43.0,26.74,30.0,16,Low Performer
225.0,75.0,15.82,30,Average Performer
53.0,25.0,20.41,21,Low Performer
176.0,41.01,11.95,43,Average Performer
114.0,30.0,26.17,38,Average Performer
18.0,29.9,20.38,6,Low Performer
402.0,89.97,15.11,41,High Performer
175.0,41.65,14.79,42,Average Performer
44.0,33.49,23.0,13,Low Performer
110.0,50.0,24.25,22,Low Performer
238.0,79.54,9.13,21,High Performer
24.0,11.46,30.0,21,Low Performer
13.0,14.88,24.56,9,Low Performer
286.0,73.23,22.32,39,Average Performer
120.0,74.78,21.41,16,Average Performer
123.0,30.0,21.62,41,Average Performer
375.0,67.87,10.96,48,High Performer
72.0,36.01,21.46,20,Low Performer
321.0,81.38,8.42,34,High Performer
118.0,53.79,21.33,22,Average Performer
322.0,75.0,14.02,43,Average Performer
309.0,85.82,9.77,30,High Performer
133.0,40.3,12.37,33,Average Performer
262.0,75.0,12.72,35,Average Performer
96.0,30.0,16.79,32,Average Performer
71.0,27.47,24.88,26,Low Performer
412.0,87.67,15.36,41,High Performer
175.0,69.88,10.5,25,Average Performer
65.0,46.36,25.89,14,Low Performer
158.0,68.63,25.66,23,Average Performer
64.0,31.99,23.29,20,Low Performer
381.0,79.01,18.46,41,High Performer
141.0,48.76,24.73,29,Average Performer
73.0,36.28,20.85,20,Low Performer
50.0,17.37,22.39,29,Low Performer
283.0,64.29,10.69,44,Average Performer
85.0,44.83,17.14,19,Average Performer
114.0,49.67,20.23,23,Average Performer
135.0,75.0,26.56,18,Average Performer
178.0,57.39,23.43,31,Average Performer
112.0,48.6,11.3,23,Average Performer
355.0,78.87,9.48,40,High Performer
119.0,59.38,16.66,20,Average Performer
142.0,52.5,22.46,27,Average Performer
201.0,88.38,6.62,20,High Performer
230.0,81.75,14.21,21,High Performer
389.0,93.95,6.4,38,High Performer
171.0,59.06,18.6,29,Average Performer
48.0,36.76,26.61,13,Low Performer
335.0,88.44,15.06,32,High Performer
225.0,75.0,18.23,30,Average Performer
441.0,79.77,19.22,48,High Performer
